index,prediction
0,2.66 centimetre
1,42 centimetre
2,78.74 centimetre
3,
4,35.43 centimetre
5,35.43 centimetre
6,10.5 centimetre
7,1.5 metre
8,30 centimetre
9,15 centimetre
10,
11,43 centimetre
12,10 centimetre
13,4.3 inch
14,10 centimetre
15,1000 gram
16,100 gram
17,
18,20 watt
19,208 volt
20,55 centimetre
21,74 centimetre
22,
23,8 centimetre
24,32 centimetre
25,3.8 centimetre
26,
27,
28,
29,2.62 pound
30,9 centimetre
31,90 millimetre
32,5.8 centimetre
33,14 centimetre
34,5.8 centimetre
35,3 gram
36,2.25 centimetre
37,
38,8 watt
39,2.7 centimetre
40,5.4 centimetre
41,9 inch
42,48 inch
43,48 centimetre
44,60 centimetre
45,5.8 inch
46,14 centimetre
47,14 centimetre
48,35 inch
49,35 inch
50,47 centimetre
51,
52,100 watt
53,7.56 centimetre
54,7.58 inch
55,96.52 centimetre
56,
57,90 centimetre
58,90 centimetre
59,2.1 watt
60,2 volt
61,58 gram
62,280 millimetre
63,280 millimetre
64,280 millimetre
65,3.72 volt
66,
67,2.5 centimetre
68,10 centimetre
69,4.2 inch
70,
71,23 centimetre
72,9.1 inch
73,23 centimetre
74,1500 watt
75,
76,12 centimetre
77,12 centimetre
78,250 gram
79,50 centimetre
80,2500 gram
81,243 pound
82,5.05 gram
83,10 ounce
84,39 centimetre
85,39 inch
86,
87,130 watt
88,
89,50 gram
90,60 centimetre
91,
92,500 millimetre
93,23.95 centimetre
94,2.5 pound
95,5.51 centimetre
96,12.5 centimetre
97,9.6 volt
98,3.8 centimetre
99,4.33 centimetre
100,37 inch
101,
102,120 watt
103,62 centimetre
104,69 centimetre
105,16 centimetre
106,16 centimetre
107,73 centimetre
108,
109,40 centimetre
110,8 centimetre
111,
112,1650 watt
113,3.52 kilogram
114,8500 volt
115,5500 watt
116,1 ounce
117,75 gram
118,10 centimetre
119,3.9 inch
120,300 gram
121,16.5 centimetre
122,250 gram
123,
124,25 gram
125,
126,12 volt
127,191 centimetre
128,90 centimetre
129,7.8 gram
130,31 centimetre
131,25.6 inch
132,25.6 inch
133,65 centimetre
134,50 pound
135,20 centimetre
136,2.9 centimetre
137,26 centimetre
138,29.95 centimetre
139,100 centimetre
140,11.5 centimetre
141,14 centimetre
142,35 centimetre
143,35 centimetre
144,10 centimetre
145,90 centimetre
146,10 centimetre
147,
148,50 centimetre
149,50 centimetre
150,
151,74.93 centimetre
152,8 centimetre
153,7.86 centimetre
154,10 centimetre
155,5 centimetre
156,50 millimetre
157,74 centimetre
158,30.3 inch
159,2.31 gram
160,13 centimetre
161,16.9 ounce
162,82 centimetre
163,76 centimetre
164,250 gram
165,220 volt
166,2100 watt
167,6 kilogram
168,10.5 centimetre
169,35 centimetre
170,
171,3.31 centimetre
172,2 gram
173,1.1 inch
174,7.8 centimetre
175,14 centimetre
176,3.3 gram
177,5.9 inch
178,20 pound
179,3.0 centimetre
180,1.1 inch
181,32 ounce
182,74.5 centimetre
183,1800 watt
184,180 volt
185,
186,5.08 centimetre
187,2.83 centimetre
188,7.0 centimetre
189,11 centimetre
190,0.35 ounce
191,40 centimetre
192,61 centimetre
193,6.2 pound
194,1275 centimetre
195,27.4 centimetre
196,10.4 centimetre
197,
198,33 gram
199,8 ounce
200,37.5 centimetre
201,14.76 centimetre
202,
203,13.2 inch
204,13.2 centimetre
205,1700 watt
206,1700 watt
207,11 centimetre
208,-226 gram
209,8 gram
210,91 centimetre
211,312 gram
212,128 centimetre
213,0.9 volt
214,30 centimetre
215,151.5 centimetre
216,12 volt
217,12 volt
218,
219,
220,20.6 centimetre
221,8.1 inch
222,43.18 centimetre
223,50.7 gram
224,90 centimetre
225,90 centimetre
226,8.5 centimetre
227,113 gram
228,16.8 kilogram
229,
230,400 volt
231,10 centimetre
232,364 gram
233,70 centimetre
234,7 centimetre
235,75.6 inch
236,72 centimetre
237,72.0 inch
238,72 centimetre
239,31.5 centimetre
240,60 centimetre
241,180 centimetre
242,2.75 centimetre
243,7 centimetre
244,7.4 inch
245,7.6 centimetre
246,7.6 centimetre
247,19.49 centimetre
248,60 centimetre
249,5.9 centimetre
250,11.7 centimetre
251,65 centimetre
252,
253,
